Accession,Organism_Name,Species,Genotype,Isolate,Segment,Length,Nuc_Completeness,Geo_Location,Host,Tissue_Specimen_Source,Submitters,Collection_Date,Release_Date,Molecule_type
PV282762,Influenza A virus,Alphainfluenzavirus influenzae,H1N1,USAFSAM-15466,6,1410,partial,United Kingdom: Suffolk,Homo sapiens,oronasopharynx,"Gruner,W.E., Muehleman,D.M., Fries,A.C., Hanson,J.F., Kramer,D.L., Demarcus,L.S., Wasik,P.M., Robbins,A.S., Macias,E.A., Garcia,J.M., Renkas,M.C., Hartless,T.R., Hardy,J.",2024-12-30,2025-03-14,ssRNA(-)
PV282763,Influenza A virus,Alphainfluenzavirus influenzae,H1N1,USAFSAM-15469,6,1410,partial,United Kingdom: Suffolk,Homo sapiens,oronasopharynx,"Gruner,W.E., Muehleman,D.M., Fries,A.C., Hanson,J.F., Kramer,D.L., Demarcus,L.S., Wasik,P.M., Robbins,A.S., Macias,E.A., Garcia,J.M., Renkas,M.C., Hartless,T.R., Hardy,J.",2024-12-18,2025-03-14,ssRNA(-)
PV282806,Influenza A virus,Alphainfluenzavirus influenzae,H1N1,USAFSAM-15464,5,1497,partial,United Kingdom: Suffolk,Homo sapiens,oronasopharynx,"Gruner,W.E., Muehleman,D.M., Fries,A.C., Hanson,J.F., Kramer,D.L., Demarcus,L.S., Wasik,P.M., Robbins,A.S., Macias,E.A., Garcia,J.M., Renkas,M.C., Hartless,T.R., Hardy,J.",2024-12-03,2025-03-14,ssRNA(-)
PV282807,Influenza A virus,Alphainfluenzavirus influenzae,H1N1,USAFSAM-15465,5,1497,partial,United Kingdom: Suffolk,Homo sapiens,oronasopharynx,"Gruner,W.E., Muehleman,D.M., Fries,A.C., Hanson,J.F., Kramer,D.L., Demarcus,L.S., Wasik,P.M., Robbins,A.S., Macias,E.A., Garcia,J.M., Renkas,M.C., Hartless,T.R., Hardy,J.",2024-12-30,2025-03-14,ssRNA(-)
PV282808,Influenza A virus,Alphainfluenzavirus influenzae,H1N1,USAFSAM-15466,5,1497,partial,United Kingdom: Suffolk,Homo sapiens,oronasopharynx,"Gruner,W.E., Muehleman,D.M., Fries,A.C., Hanson,J.F., Kramer,D.L., Demarcus,L.S., Wasik,P.M., Robbins,A.S., Macias,E.A., Garcia,J.M., Renkas,M.C., Hartless,T.R., Hardy,J.",2024-12-30,2025-03-14,ssRNA(-)
PV282809,Influenza A virus,Alphainfluenzavirus influenzae,H1N1,USAFSAM-15469,5,1497,partial,United Kingdom: Suffolk,Homo sapiens,oronasopharynx,"Gruner,W.E., Muehleman,D.M., Fries,A.C., Hanson,J.F., Kramer,D.L., Demarcus,L.S., Wasik,P.M., Robbins,A.S., Macias,E.A., Garcia,J.M., Renkas,M.C., Hartless,T.R., Hardy,J.",2024-12-18,2025-03-14,ssRNA(-)
PV282852,Influenza A virus,Alphainfluenzavirus influenzae,H1N1,USAFSAM-15464,8,838,partial,United Kingdom: Suffolk,Homo sapiens,oronasopharynx,"Gruner,W.E., Muehleman,D.M., Fries,A.C., Hanson,J.F., Kramer,D.L., Demarcus,L.S., Wasik,P.M., Robbins,A.S., Macias,E.A., Garcia,J.M., Renkas,M.C., Hartless,T.R., Hardy,J.",2024-12-03,2025-03-14,ssRNA(-)
PV282853,Influenza A virus,Alphainfluenzavirus influenzae,H1N1,USAFSAM-15465,8,838,partial,United Kingdom: Suffolk,Homo sapiens,oronasopharynx,"Gruner,W.E., Muehleman,D.M., Fries,A.C., Hanson,J.F., Kramer,D.L., Demarcus,L.S., Wasik,P.M., Robbins,A.S., Macias,E.A., Garcia,J.M., Renkas,M.C., Hartless,T.R., Hardy,J.",2024-12-30,2025-03-14,ssRNA(-)
PV282854,Influenza A virus,Alphainfluenzavirus influenzae,H1N1,USAFSAM-15466,8,838,partial,United Kingdom: Suffolk,Homo sapiens,oronasopharynx,"Gruner,W.E., Muehleman,D.M., Fries,A.C., Hanson,J.F., Kramer,D.L., Demarcus,L.S., Wasik,P.M., Robbins,A.S., Macias,E.A., Garcia,J.M., Renkas,M.C., Hartless,T.R., Hardy,J.",2024-12-30,2025-03-14,ssRNA(-)
PV282855,Influenza A virus,Alphainfluenzavirus influenzae,H1N1,USAFSAM-15469,8,838,partial,United Kingdom: Suffolk,Homo sapiens,oronasopharynx,"Gruner,W.E., Muehleman,D.M., Fries,A.C., Hanson,J.F., Kramer,D.L., Demarcus,L.S., Wasik,P.M., Robbins,A.S., Macias,E.A., Garcia,J.M., Renkas,M.C., Hartless,T.R., Hardy,J.",2024-12-18,2025-03-14,ssRNA(-)
PV282912,Influenza A virus,Alphainfluenzavirus influenzae,H1N1,USAFSAM-15466,2,2274,partial,United Kingdom: Suffolk,Homo sapiens,oronasopharynx,"Gruner,W.E., Muehleman,D.M., Fries,A.C., Hanson,J.F., Kramer,D.L., Demarcus,L.S., Wasik,P.M., Robbins,A.S., Macias,E.A., Garcia,J.M., Renkas,M.C., Hartless,T.R., Hardy,J.",2024-12-30,2025-03-14,ssRNA(-)
PV282951,Influenza A virus,Alphainfluenzavirus influenzae,H1N1,USAFSAM-15464,1,2280,partial,United Kingdom: Suffolk,Homo sapiens,oronasopharynx,"Gruner,W.E., Muehleman,D.M., Fries,A.C., Hanson,J.F., Kramer,D.L., Demarcus,L.S., Wasik,P.M., Robbins,A.S., Macias,E.A., Garcia,J.M., Renkas,M.C., Hartless,T.R., Hardy,J.",2024-12-03,2025-03-14,ssRNA(-)
PV282952,Influenza A virus,Alphainfluenzavirus influenzae,H1N1,USAFSAM-15465,1,2280,partial,United Kingdom: Suffolk,Homo sapiens,oronasopharynx,"Gruner,W.E., Muehleman,D.M., Fries,A.C., Hanson,J.F., Kramer,D.L., Demarcus,L.S., Wasik,P.M., Robbins,A.S., Macias,E.A., Garcia,J.M., Renkas,M.C., Hartless,T.R., Hardy,J.",2024-12-30,2025-03-14,ssRNA(-)
PV282953,Influenza A virus,Alphainfluenzavirus influenzae,H1N1,USAFSAM-15466,1,2280,partial,United Kingdom: Suffolk,Homo sapiens,oronasopharynx,"Gruner,W.E., Muehleman,D.M., Fries,A.C., Hanson,J.F., Kramer,D.L., Demarcus,L.S., Wasik,P.M., Robbins,A.S., Macias,E.A., Garcia,J.M., Renkas,M.C., Hartless,T.R., Hardy,J.",2024-12-30,2025-03-14,ssRNA(-)
PV282954,Influenza A virus,Alphainfluenzavirus influenzae,H1N1,USAFSAM-15469,1,2280,partial,United Kingdom: Suffolk,Homo sapiens,oronasopharynx,"Gruner,W.E., Muehleman,D.M., Fries,A.C., Hanson,J.F., Kramer,D.L., Demarcus,L.S., Wasik,P.M., Robbins,A.S., Macias,E.A., Garcia,J.M., Renkas,M.C., Hartless,T.R., Hardy,J.",2024-12-18,2025-03-14,ssRNA(-)
PV283029,Influenza A virus,Alphainfluenzavirus influenzae,H1N1,USAFSAM-15467,4,1701,partial,United Kingdom: Suffolk,Homo sapiens,oronasopharynx,"Gruner,W.E., Muehleman,D.M., Fries,A.C., Hanson,J.F., Kramer,D.L., Demarcus,L.S., Wasik,P.M., Robbins,A.S., Macias,E.A., Garcia,J.M., Renkas,M.C., Hartless,T.R., Hardy,J.",2024-12-30,2025-03-14,ssRNA(-)
PV283030,Influenza A virus,Alphainfluenzavirus influenzae,H1N1,USAFSAM-15467,7,982,partial,United Kingdom: Suffolk,Homo sapiens,oronasopharynx,"Gruner,W.E., Muehleman,D.M., Fries,A.C., Hanson,J.F., Kramer,D.L., Demarcus,L.S., Wasik,P.M., Robbins,A.S., Macias,E.A., Garcia,J.M., Renkas,M.C., Hartless,T.R., Hardy,J.",2024-12-30,2025-03-14,ssRNA(-)
PV283031,Influenza A virus,Alphainfluenzavirus influenzae,H1N1,USAFSAM-15467,6,1410,partial,United Kingdom: Suffolk,Homo sapiens,oronasopharynx,"Gruner,W.E., Muehleman,D.M., Fries,A.C., Hanson,J.F., Kramer,D.L., Demarcus,L.S., Wasik,P.M., Robbins,A.S., Macias,E.A., Garcia,J.M., Renkas,M.C., Hartless,T.R., Hardy,J.",2024-12-30,2025-03-14,ssRNA(-)
PV283032,Influenza A virus,Alphainfluenzavirus influenzae,H1N1,USAFSAM-15467,5,1497,partial,United Kingdom: Suffolk,Homo sapiens,oronasopharynx,"Gruner,W.E., Muehleman,D.M., Fries,A.C., Hanson,J.F., Kramer,D.L., Demarcus,L.S., Wasik,P.M., Robbins,A.S., Macias,E.A., Garcia,J.M., Renkas,M.C., Hartless,T.R., Hardy,J.",2024-12-30,2025-03-14,ssRNA(-)
PV283033,Influenza A virus,Alphainfluenzavirus influenzae,H1N1,USAFSAM-15467,8,838,partial,United Kingdom: Suffolk,Homo sapiens,oronasopharynx,"Gruner,W.E., Muehleman,D.M., Fries,A.C., Hanson,J.F., Kramer,D.L., Demarcus,L.S., Wasik,P.M., Robbins,A.S., Macias,E.A., Garcia,J.M., Renkas,M.C., Hartless,T.R., Hardy,J.",2024-12-30,2025-03-14,ssRNA(-)
PV283034,Influenza A virus,Alphainfluenzavirus influenzae,H1N1,USAFSAM-15467,3,2151,partial,United Kingdom: Suffolk,Homo sapiens,oronasopharynx,"Gruner,W.E., Muehleman,D.M., Fries,A.C., Hanson,J.F., Kramer,D.L., Demarcus,L.S., Wasik,P.M., Robbins,A.S., Macias,E.A., Garcia,J.M., Renkas,M.C., Hartless,T.R., Hardy,J.",2024-12-30,2025-03-14,ssRNA(-)
PV283035,Influenza A virus,Alphainfluenzavirus influenzae,H1N1,USAFSAM-15467,2,2274,partial,United Kingdom: Suffolk,Homo sapiens,oronasopharynx,"Gruner,W.E., Muehleman,D.M., Fries,A.C., Hanson,J.F., Kramer,D.L., Demarcus,L.S., Wasik,P.M., Robbins,A.S., Macias,E.A., Garcia,J.M., Renkas,M.C., Hartless,T.R., Hardy,J.",2024-12-30,2025-03-14,ssRNA(-)
PV283036,Influenza A virus,Alphainfluenzavirus influenzae,H1N1,USAFSAM-15467,1,2280,partial,United Kingdom: Suffolk,Homo sapiens,oronasopharynx,"Gruner,W.E., Muehleman,D.M., Fries,A.C., Hanson,J.F., Kramer,D.L., Demarcus,L.S., Wasik,P.M., Robbins,A.S., Macias,E.A., Garcia,J.M., Renkas,M.C., Hartless,T.R., Hardy,J.",2024-12-30,2025-03-14,ssRNA(-)
PV283037,Influenza A virus,Alphainfluenzavirus influenzae,H1N1,USAFSAM-15468,4,1701,partial,United Kingdom: Suffolk,Homo sapiens,oronasopharynx,"Gruner,W.E., Muehleman,D.M., Fries,A.C., Hanson,J.F., Kramer,D.L., Demarcus,L.S., Wasik,P.M., Robbins,A.S., Macias,E.A., Garcia,J.M., Renkas,M.C., Hartless,T.R., Hardy,J.",2024-12-17,2025-03-14,ssRNA(-)
PV283038,Influenza A virus,Alphainfluenzavirus influenzae,H1N1,USAFSAM-15468,7,982,partial,United Kingdom: Suffolk,Homo sapiens,oronasopharynx,"Gruner,W.E., Muehleman,D.M., Fries,A.C., Hanson,J.F., Kramer,D.L., Demarcus,L.S., Wasik,P.M., Robbins,A.S., Macias,E.A., Garcia,J.M., Renkas,M.C., Hartless,T.R., Hardy,J.",2024-12-17,2025-03-14,ssRNA(-)
PV283039,Influenza A virus,Alphainfluenzavirus influenzae,H1N1,USAFSAM-15468,6,1410,partial,United Kingdom: Suffolk,Homo sapiens,oronasopharynx,"Gruner,W.E., Muehleman,D.M., Fries,A.C., Hanson,J.F., Kramer,D.L., Demarcus,L.S., Wasik,P.M., Robbins,A.S., Macias,E.A., Garcia,J.M., Renkas,M.C., Hartless,T.R., Hardy,J.",2024-12-17,2025-03-14,ssRNA(-)
PV283040,Influenza A virus,Alphainfluenzavirus influenzae,H1N1,USAFSAM-15468,5,1497,partial,United Kingdom: Suffolk,Homo sapiens,oronasopharynx,"Gruner,W.E., Muehleman,D.M., Fries,A.C., Hanson,J.F., Kramer,D.L., Demarcus,L.S., Wasik,P.M., Robbins,A.S., Macias,E.A., Garcia,J.M., Renkas,M.C., Hartless,T.R., Hardy,J.",2024-12-17,2025-03-14,ssRNA(-)
PV283041,Influenza A virus,Alphainfluenzavirus influenzae,H1N1,USAFSAM-15468,8,838,partial,United Kingdom: Suffolk,Homo sapiens,oronasopharynx,"Gruner,W.E., Muehleman,D.M., Fries,A.C., Hanson,J.F., Kramer,D.L., Demarcus,L.S., Wasik,P.M., Robbins,A.S., Macias,E.A., Garcia,J.M., Renkas,M.C., Hartless,T.R., Hardy,J.",2024-12-17,2025-03-14,ssRNA(-)
PV283042,Influenza A virus,Alphainfluenzavirus influenzae,H1N1,USAFSAM-15468,3,2151,partial,United Kingdom: Suffolk,Homo sapiens,oronasopharynx,"Gruner,W.E., Muehleman,D.M., Fries,A.C., Hanson,J.F., Kramer,D.L., Demarcus,L.S., Wasik,P.M., Robbins,A.S., Macias,E.A., Garcia,J.M., Renkas,M.C., Hartless,T.R., Hardy,J.",2024-12-17,2025-03-14,ssRNA(-)
PV283043,Influenza A virus,Alphainfluenzavirus influenzae,H1N1,USAFSAM-15468,2,2274,partial,United Kingdom: Suffolk,Homo sapiens,oronasopharynx,"Gruner,W.E., Muehleman,D.M., Fries,A.C., Hanson,J.F., Kramer,D.L., Demarcus,L.S., Wasik,P.M., Robbins,A.S., Macias,E.A., Garcia,J.M., Renkas,M.C., Hartless,T.R., Hardy,J.",2024-12-17,2025-03-14,ssRNA(-)
PV283044,Influenza A virus,Alphainfluenzavirus influenzae,H1N1,USAFSAM-15468,1,2280,partial,United Kingdom: Suffolk,Homo sapiens,oronasopharynx,"Gruner,W.E., Muehleman,D.M., Fries,A.C., Hanson,J.F., Kramer,D.L., Demarcus,L.S., Wasik,P.M., Robbins,A.S., Macias,E.A., Garcia,J.M., Renkas,M.C., Hartless,T.R., Hardy,J.",2024-12-17,2025-03-14,ssRNA(-)
PV283045,Influenza A virus,Alphainfluenzavirus influenzae,H1N1,USAFSAM-15470,4,1701,partial,United Kingdom: Suffolk,Homo sapiens,oronasopharynx,"Gruner,W.E., Muehleman,D.M., Fries,A.C., Hanson,J.F., Kramer,D.L., Demarcus,L.S., Wasik,P.M., Robbins,A.S., Macias,E.A., Garcia,J.M., Renkas,M.C., Hartless,T.R., Hardy,J.",2024-12-23,2025-03-14,ssRNA(-)
PV283046,Influenza A virus,Alphainfluenzavirus influenzae,H1N1,USAFSAM-15470,7,982,partial,United Kingdom: Suffolk,Homo sapiens,oronasopharynx,"Gruner,W.E., Muehleman,D.M., Fries,A.C., Hanson,J.F., Kramer,D.L., Demarcus,L.S., Wasik,P.M., Robbins,A.S., Macias,E.A., Garcia,J.M., Renkas,M.C., Hartless,T.R., Hardy,J.",2024-12-23,2025-03-14,ssRNA(-)
PV283047,Influenza A virus,Alphainfluenzavirus influenzae,H1N1,USAFSAM-15470,6,1410,partial,United Kingdom: Suffolk,Homo sapiens,oronasopharynx,"Gruner,W.E., Muehleman,D.M., Fries,A.C., Hanson,J.F., Kramer,D.L., Demarcus,L.S., Wasik,P.M., Robbins,A.S., Macias,E.A., Garcia,J.M., Renkas,M.C., Hartless,T.R., Hardy,J.",2024-12-23,2025-03-14,ssRNA(-)
PV283048,Influenza A virus,Alphainfluenzavirus influenzae,H1N1,USAFSAM-15470,5,1497,partial,United Kingdom: Suffolk,Homo sapiens,oronasopharynx,"Gruner,W.E., Muehleman,D.M., Fries,A.C., Hanson,J.F., Kramer,D.L., Demarcus,L.S., Wasik,P.M., Robbins,A.S., Macias,E.A., Garcia,J.M., Renkas,M.C., Hartless,T.R., Hardy,J.",2024-12-23,2025-03-14,ssRNA(-)
PV283049,Influenza A virus,Alphainfluenzavirus influenzae,H1N1,USAFSAM-15470,8,838,partial,United Kingdom: Suffolk,Homo sapiens,oronasopharynx,"Gruner,W.E., Muehleman,D.M., Fries,A.C., Hanson,J.F., Kramer,D.L., Demarcus,L.S., Wasik,P.M., Robbins,A.S., Macias,E.A., Garcia,J.M., Renkas,M.C., Hartless,T.R., Hardy,J.",2024-12-23,2025-03-14,ssRNA(-)
PV283050,Influenza A virus,Alphainfluenzavirus influenzae,H1N1,USAFSAM-15470,3,2151,partial,United Kingdom: Suffolk,Homo sapiens,oronasopharynx,"Gruner,W.E., Muehleman,D.M., Fries,A.C., Hanson,J.F., Kramer,D.L., Demarcus,L.S., Wasik,P.M., Robbins,A.S., Macias,E.A., Garcia,J.M., Renkas,M.C., Hartless,T.R., Hardy,J.",2024-12-23,2025-03-14,ssRNA(-)
PV283051,Influenza A virus,Alphainfluenzavirus influenzae,H1N1,USAFSAM-15470,2,2274,partial,United Kingdom: Suffolk,Homo sapiens,oronasopharynx,"Gruner,W.E., Muehleman,D.M., Fries,A.C., Hanson,J.F., Kramer,D.L., Demarcus,L.S., Wasik,P.M., Robbins,A.S., Macias,E.A., Garcia,J.M., Renkas,M.C., Hartless,T.R., Hardy,J.",2024-12-23,2025-03-14,ssRNA(-)
PV283052,Influenza A virus,Alphainfluenzavirus influenzae,H1N1,USAFSAM-15470,1,2280,partial,United Kingdom: Suffolk,Homo sapiens,oronasopharynx,"Gruner,W.E., Muehleman,D.M., Fries,A.C., Hanson,J.F., Kramer,D.L., Demarcus,L.S., Wasik,P.M., Robbins,A.S., Macias,E.A., Garcia,J.M., Renkas,M.C., Hartless,T.R., Hardy,J.",2024-12-23,2025-03-14,ssRNA(-)
PV283053,Influenza A virus,Alphainfluenzavirus influenzae,H1N1,USAFSAM-15471,4,1701,partial,United Kingdom: Suffolk,Homo sapiens,oronasopharynx,"Gruner,W.E., Muehleman,D.M., Fries,A.C., Hanson,J.F., Kramer,D.L., Demarcus,L.S., Wasik,P.M., Robbins,A.S., Macias,E.A., Garcia,J.M., Renkas,M.C., Hartless,T.R., Hardy,J.",2024-12-30,2025-03-14,ssRNA(-)
PV283054,Influenza A virus,Alphainfluenzavirus influenzae,H1N1,USAFSAM-15471,7,982,partial,United Kingdom: Suffolk,Homo sapiens,oronasopharynx,"Gruner,W.E., Muehleman,D.M., Fries,A.C., Hanson,J.F., Kramer,D.L., Demarcus,L.S., Wasik,P.M., Robbins,A.S., Macias,E.A., Garcia,J.M., Renkas,M.C., Hartless,T.R., Hardy,J.",2024-12-30,2025-03-14,ssRNA(-)
PV283055,Influenza A virus,Alphainfluenzavirus influenzae,H1N1,USAFSAM-15471,6,1410,partial,United Kingdom: Suffolk,Homo sapiens,oronasopharynx,"Gruner,W.E., Muehleman,D.M., Fries,A.C., Hanson,J.F., Kramer,D.L., Demarcus,L.S., Wasik,P.M., Robbins,A.S., Macias,E.A., Garcia,J.M., Renkas,M.C., Hartless,T.R., Hardy,J.",2024-12-30,2025-03-14,ssRNA(-)
PV283056,Influenza A virus,Alphainfluenzavirus influenzae,H1N1,USAFSAM-15471,5,1497,partial,United Kingdom: Suffolk,Homo sapiens,oronasopharynx,"Gruner,W.E., Muehleman,D.M., Fries,A.C., Hanson,J.F., Kramer,D.L., Demarcus,L.S., Wasik,P.M., Robbins,A.S., Macias,E.A., Garcia,J.M., Renkas,M.C., Hartless,T.R., Hardy,J.",2024-12-30,2025-03-14,ssRNA(-)
PV283057,Influenza A virus,Alphainfluenzavirus influenzae,H1N1,USAFSAM-15471,8,838,partial,United Kingdom: Suffolk,Homo sapiens,oronasopharynx,"Gruner,W.E., Muehleman,D.M., Fries,A.C., Hanson,J.F., Kramer,D.L., Demarcus,L.S., Wasik,P.M., Robbins,A.S., Macias,E.A., Garcia,J.M., Renkas,M.C., Hartless,T.R., Hardy,J.",2024-12-30,2025-03-14,ssRNA(-)
PV283058,Influenza A virus,Alphainfluenzavirus influenzae,H1N1,USAFSAM-15471,3,2151,partial,United Kingdom: Suffolk,Homo sapiens,oronasopharynx,"Gruner,W.E., Muehleman,D.M., Fries,A.C., Hanson,J.F., Kramer,D.L., Demarcus,L.S., Wasik,P.M., Robbins,A.S., Macias,E.A., Garcia,J.M., Renkas,M.C., Hartless,T.R., Hardy,J.",2024-12-30,2025-03-14,ssRNA(-)
PV283059,Influenza A virus,Alphainfluenzavirus influenzae,H1N1,USAFSAM-15471,2,2274,partial,United Kingdom: Suffolk,Homo sapiens,oronasopharynx,"Gruner,W.E., Muehleman,D.M., Fries,A.C., Hanson,J.F., Kramer,D.L., Demarcus,L.S., Wasik,P.M., Robbins,A.S., Macias,E.A., Garcia,J.M., Renkas,M.C., Hartless,T.R., Hardy,J.",2024-12-30,2025-03-14,ssRNA(-)
PV283060,Influenza A virus,Alphainfluenzavirus influenzae,H1N1,USAFSAM-15471,1,2280,partial,United Kingdom: Suffolk,Homo sapiens,oronasopharynx,"Gruner,W.E., Muehleman,D.M., Fries,A.C., Hanson,J.F., Kramer,D.L., Demarcus,L.S., Wasik,P.M., Robbins,A.S., Macias,E.A., Garcia,J.M., Renkas,M.C., Hartless,T.R., Hardy,J.",2024-12-30,2025-03-14,ssRNA(-)
PV200364,Influenza A virus,Alphainfluenzavirus influenzae,H1N1,USAFSAM-15159,4,1701,partial,United Kingdom: Suffolk,Homo sapiens,oronasopharynx,"Gruner,W.E., Muehleman,D.M., Fries,A.C., Hanson,J.F., Kramer,D.L., Demarcus,L.S., Wasik,P.M., Robbins,A.S., Macias,E.A., Garcia,J.M., Renkas,M.C., Hartless,T.R., Hardy,J.",2024-12-11,2025-02-28,ssRNA(-)
PV200405,Influenza A virus,Alphainfluenzavirus influenzae,H1N1,USAFSAM-15159,7,982,partial,United Kingdom: Suffolk,Homo sapiens,oronasopharynx,"Gruner,W.E., Muehleman,D.M., Fries,A.C., Hanson,J.F., Kramer,D.L., Demarcus,L.S., Wasik,P.M., Robbins,A.S., Macias,E.A., Garcia,J.M., Renkas,M.C., Hartless,T.R., Hardy,J.",2024-12-11,2025-02-28,ssRNA(-)
PV200446,Influenza A virus,Alphainfluenzavirus influenzae,H1N1,USAFSAM-15159,6,1410,partial,United Kingdom: Suffolk,Homo sapiens,oronasopharynx,"Gruner,W.E., Muehleman,D.M., Fries,A.C., Hanson,J.F., Kramer,D.L., Demarcus,L.S., Wasik,P.M., Robbins,A.S., Macias,E.A., Garcia,J.M., Renkas,M.C., Hartless,T.R., Hardy,J.",2024-12-11,2025-02-28,ssRNA(-)
PV200693,Influenza A virus,Alphainfluenzavirus influenzae,H1N1,USAFSAM-15157,4,1701,partial,United Kingdom: Suffolk,Homo sapiens,oronasopharynx,"Gruner,W.E., Muehleman,D.M., Fries,A.C., Hanson,J.F., Kramer,D.L., Demarcus,L.S., Wasik,P.M., Robbins,A.S., Macias,E.A., Garcia,J.M., Renkas,M.C., Hartless,T.R., Hardy,J.",2024-12-11,2025-02-28,ssRNA(-)
PV200694,Influenza A virus,Alphainfluenzavirus influenzae,H1N1,USAFSAM-15157,7,982,partial,United Kingdom: Suffolk,Homo sapiens,oronasopharynx,"Gruner,W.E., Muehleman,D.M., Fries,A.C., Hanson,J.F., Kramer,D.L., Demarcus,L.S., Wasik,P.M., Robbins,A.S., Macias,E.A., Garcia,J.M., Renkas,M.C., Hartless,T.R., Hardy,J.",2024-12-11,2025-02-28,ssRNA(-)
