Accession,Organism_Name,Species,Genotype,Isolate,Segment,Length,Nuc_Completeness,Geo_Location,Country,Host,Tissue_Specimen_Source,Submitters,Collection_Date,Release_Date,Molecule_type
PV283040,Influenza A virus,Alphainfluenzavirus influenzae,H1N1,USAFSAM-15468,5,1497,partial,United Kingdom: Suffolk,United Kingdom,Homo sapiens,oronasopharynx,"Gruner,W.E., Muehleman,D.M., Fries,A.C., Hanson,J.F., Kramer,D.L., Demarcus,L.S., Wasik,P.M., Robbins,A.S., Macias,E.A., Garcia,J.M., Renkas,M.C., Hartless,T.R., Hardy,J.",2024-12-17,2025-03-14,ssRNA(-)
PV283041,Influenza A virus,Alphainfluenzavirus influenzae,H1N1,USAFSAM-15468,8,838,partial,United Kingdom: Suffolk,United Kingdom,Homo sapiens,oronasopharynx,"Gruner,W.E., Muehleman,D.M., Fries,A.C., Hanson,J.F., Kramer,D.L., Demarcus,L.S., Wasik,P.M., Robbins,A.S., Macias,E.A., Garcia,J.M., Renkas,M.C., Hartless,T.R., Hardy,J.",2024-12-17,2025-03-14,ssRNA(-)
PV283042,Influenza A virus,Alphainfluenzavirus influenzae,H1N1,USAFSAM-15468,3,2151,partial,United Kingdom: Suffolk,United Kingdom,Homo sapiens,oronasopharynx,"Gruner,W.E., Muehleman,D.M., Fries,A.C., Hanson,J.F., Kramer,D.L., Demarcus,L.S., Wasik,P.M., Robbins,A.S., Macias,E.A., Garcia,J.M., Renkas,M.C., Hartless,T.R., Hardy,J.",2024-12-17,2025-03-14,ssRNA(-)
PV283043,Influenza A virus,Alphainfluenzavirus influenzae,H1N1,USAFSAM-15468,2,2274,partial,United Kingdom: Suffolk,United Kingdom,Homo sapiens,oronasopharynx,"Gruner,W.E., Muehleman,D.M., Fries,A.C., Hanson,J.F., Kramer,D.L., Demarcus,L.S., Wasik,P.M., Robbins,A.S., Macias,E.A., Garcia,J.M., Renkas,M.C., Hartless,T.R., Hardy,J.",2024-12-17,2025-03-14,ssRNA(-)
PV283044,Influenza A virus,Alphainfluenzavirus influenzae,H1N1,USAFSAM-15468,1,2280,partial,United Kingdom: Suffolk,United Kingdom,Homo sapiens,oronasopharynx,"Gruner,W.E., Muehleman,D.M., Fries,A.C., Hanson,J.F., Kramer,D.L., Demarcus,L.S., Wasik,P.M., Robbins,A.S., Macias,E.A., Garcia,J.M., Renkas,M.C., Hartless,T.R., Hardy,J.",2024-12-17,2025-03-14,ssRNA(-)
PV283045,Influenza A virus,Alphainfluenzavirus influenzae,H1N1,USAFSAM-15470,4,1701,partial,United Kingdom: Suffolk,United Kingdom,Homo sapiens,oronasopharynx,"Gruner,W.E., Muehleman,D.M., Fries,A.C., Hanson,J.F., Kramer,D.L., Demarcus,L.S., Wasik,P.M., Robbins,A.S., Macias,E.A., Garcia,J.M., Renkas,M.C., Hartless,T.R., Hardy,J.",2024-12-23,2025-03-14,ssRNA(-)
PV283046,Influenza A virus,Alphainfluenzavirus influenzae,H1N1,USAFSAM-15470,7,982,partial,United Kingdom: Suffolk,United Kingdom,Homo sapiens,oronasopharynx,"Gruner,W.E., Muehleman,D.M., Fries,A.C., Hanson,J.F., Kramer,D.L., Demarcus,L.S., Wasik,P.M., Robbins,A.S., Macias,E.A., Garcia,J.M., Renkas,M.C., Hartless,T.R., Hardy,J.",2024-12-23,2025-03-14,ssRNA(-)
PV283047,Influenza A virus,Alphainfluenzavirus influenzae,H1N1,USAFSAM-15470,6,1410,partial,United Kingdom: Suffolk,United Kingdom,Homo sapiens,oronasopharynx,"Gruner,W.E., Muehleman,D.M., Fries,A.C., Hanson,J.F., Kramer,D.L., Demarcus,L.S., Wasik,P.M., Robbins,A.S., Macias,E.A., Garcia,J.M., Renkas,M.C., Hartless,T.R., Hardy,J.",2024-12-23,2025-03-14,ssRNA(-)
PV283048,Influenza A virus,Alphainfluenzavirus influenzae,H1N1,USAFSAM-15470,5,1497,partial,United Kingdom: Suffolk,United Kingdom,Homo sapiens,oronasopharynx,"Gruner,W.E., Muehleman,D.M., Fries,A.C., Hanson,J.F., Kramer,D.L., Demarcus,L.S., Wasik,P.M., Robbins,A.S., Macias,E.A., Garcia,J.M., Renkas,M.C., Hartless,T.R., Hardy,J.",2024-12-23,2025-03-14,ssRNA(-)
PV283049,Influenza A virus,Alphainfluenzavirus influenzae,H1N1,USAFSAM-15470,8,838,partial,United Kingdom: Suffolk,United Kingdom,Homo sapiens,oronasopharynx,"Gruner,W.E., Muehleman,D.M., Fries,A.C., Hanson,J.F., Kramer,D.L., Demarcus,L.S., Wasik,P.M., Robbins,A.S., Macias,E.A., Garcia,J.M., Renkas,M.C., Hartless,T.R., Hardy,J.",2024-12-23,2025-03-14,ssRNA(-)
PV283050,Influenza A virus,Alphainfluenzavirus influenzae,H1N1,USAFSAM-15470,3,2151,partial,United Kingdom: Suffolk,United Kingdom,Homo sapiens,oronasopharynx,"Gruner,W.E., Muehleman,D.M., Fries,A.C., Hanson,J.F., Kramer,D.L., Demarcus,L.S., Wasik,P.M., Robbins,A.S., Macias,E.A., Garcia,J.M., Renkas,M.C., Hartless,T.R., Hardy,J.",2024-12-23,2025-03-14,ssRNA(-)
PV283051,Influenza A virus,Alphainfluenzavirus influenzae,H1N1,USAFSAM-15470,2,2274,partial,United Kingdom: Suffolk,United Kingdom,Homo sapiens,oronasopharynx,"Gruner,W.E., Muehleman,D.M., Fries,A.C., Hanson,J.F., Kramer,D.L., Demarcus,L.S., Wasik,P.M., Robbins,A.S., Macias,E.A., Garcia,J.M., Renkas,M.C., Hartless,T.R., Hardy,J.",2024-12-23,2025-03-14,ssRNA(-)
PV283052,Influenza A virus,Alphainfluenzavirus influenzae,H1N1,USAFSAM-15470,1,2280,partial,United Kingdom: Suffolk,United Kingdom,Homo sapiens,oronasopharynx,"Gruner,W.E., Muehleman,D.M., Fries,A.C., Hanson,J.F., Kramer,D.L., Demarcus,L.S., Wasik,P.M., Robbins,A.S., Macias,E.A., Garcia,J.M., Renkas,M.C., Hartless,T.R., Hardy,J.",2024-12-23,2025-03-14,ssRNA(-)
PV283053,Influenza A virus,Alphainfluenzavirus influenzae,H1N1,USAFSAM-15471,4,1701,partial,United Kingdom: Suffolk,United Kingdom,Homo sapiens,oronasopharynx,"Gruner,W.E., Muehleman,D.M., Fries,A.C., Hanson,J.F., Kramer,D.L., Demarcus,L.S., Wasik,P.M., Robbins,A.S., Macias,E.A., Garcia,J.M., Renkas,M.C., Hartless,T.R., Hardy,J.",2024-12-30,2025-03-14,ssRNA(-)
PV283054,Influenza A virus,Alphainfluenzavirus influenzae,H1N1,USAFSAM-15471,7,982,partial,United Kingdom: Suffolk,United Kingdom,Homo sapiens,oronasopharynx,"Gruner,W.E., Muehleman,D.M., Fries,A.C., Hanson,J.F., Kramer,D.L., Demarcus,L.S., Wasik,P.M., Robbins,A.S., Macias,E.A., Garcia,J.M., Renkas,M.C., Hartless,T.R., Hardy,J.",2024-12-30,2025-03-14,ssRNA(-)
PV283055,Influenza A virus,Alphainfluenzavirus influenzae,H1N1,USAFSAM-15471,6,1410,partial,United Kingdom: Suffolk,United Kingdom,Homo sapiens,oronasopharynx,"Gruner,W.E., Muehleman,D.M., Fries,A.C., Hanson,J.F., Kramer,D.L., Demarcus,L.S., Wasik,P.M., Robbins,A.S., Macias,E.A., Garcia,J.M., Renkas,M.C., Hartless,T.R., Hardy,J.",2024-12-30,2025-03-14,ssRNA(-)
PV283056,Influenza A virus,Alphainfluenzavirus influenzae,H1N1,USAFSAM-15471,5,1497,partial,United Kingdom: Suffolk,United Kingdom,Homo sapiens,oronasopharynx,"Gruner,W.E., Muehleman,D.M., Fries,A.C., Hanson,J.F., Kramer,D.L., Demarcus,L.S., Wasik,P.M., Robbins,A.S., Macias,E.A., Garcia,J.M., Renkas,M.C., Hartless,T.R., Hardy,J.",2024-12-30,2025-03-14,ssRNA(-)
PV283057,Influenza A virus,Alphainfluenzavirus influenzae,H1N1,USAFSAM-15471,8,838,partial,United Kingdom: Suffolk,United Kingdom,Homo sapiens,oronasopharynx,"Gruner,W.E., Muehleman,D.M., Fries,A.C., Hanson,J.F., Kramer,D.L., Demarcus,L.S., Wasik,P.M., Robbins,A.S., Macias,E.A., Garcia,J.M., Renkas,M.C., Hartless,T.R., Hardy,J.",2024-12-30,2025-03-14,ssRNA(-)
PV283058,Influenza A virus,Alphainfluenzavirus influenzae,H1N1,USAFSAM-15471,3,2151,partial,United Kingdom: Suffolk,United Kingdom,Homo sapiens,oronasopharynx,"Gruner,W.E., Muehleman,D.M., Fries,A.C., Hanson,J.F., Kramer,D.L., Demarcus,L.S., Wasik,P.M., Robbins,A.S., Macias,E.A., Garcia,J.M., Renkas,M.C., Hartless,T.R., Hardy,J.",2024-12-30,2025-03-14,ssRNA(-)
PV283059,Influenza A virus,Alphainfluenzavirus influenzae,H1N1,USAFSAM-15471,2,2274,partial,United Kingdom: Suffolk,United Kingdom,Homo sapiens,oronasopharynx,"Gruner,W.E., Muehleman,D.M., Fries,A.C., Hanson,J.F., Kramer,D.L., Demarcus,L.S., Wasik,P.M., Robbins,A.S., Macias,E.A., Garcia,J.M., Renkas,M.C., Hartless,T.R., Hardy,J.",2024-12-30,2025-03-14,ssRNA(-)
PV283060,Influenza A virus,Alphainfluenzavirus influenzae,H1N1,USAFSAM-15471,1,2280,partial,United Kingdom: Suffolk,United Kingdom,Homo sapiens,oronasopharynx,"Gruner,W.E., Muehleman,D.M., Fries,A.C., Hanson,J.F., Kramer,D.L., Demarcus,L.S., Wasik,P.M., Robbins,A.S., Macias,E.A., Garcia,J.M., Renkas,M.C., Hartless,T.R., Hardy,J.",2024-12-30,2025-03-14,ssRNA(-)
PV200693,Influenza A virus,Alphainfluenzavirus influenzae,H1N1,USAFSAM-15157,4,1701,partial,United Kingdom: Suffolk,United Kingdom,Homo sapiens,oronasopharynx,"Gruner,W.E., Muehleman,D.M., Fries,A.C., Hanson,J.F., Kramer,D.L., Demarcus,L.S., Wasik,P.M., Robbins,A.S., Macias,E.A., Garcia,J.M., Renkas,M.C., Hartless,T.R., Hardy,J.",2024-12-11,2025-02-28,ssRNA(-)
PV200694,Influenza A virus,Alphainfluenzavirus influenzae,H1N1,USAFSAM-15157,7,982,partial,United Kingdom: Suffolk,United Kingdom,Homo sapiens,oronasopharynx,"Gruner,W.E., Muehleman,D.M., Fries,A.C., Hanson,J.F., Kramer,D.L., Demarcus,L.S., Wasik,P.M., Robbins,A.S., Macias,E.A., Garcia,J.M., Renkas,M.C., Hartless,T.R., Hardy,J.",2024-12-11,2025-02-28,ssRNA(-)
PV200695,Influenza A virus,Alphainfluenzavirus influenzae,H1N1,USAFSAM-15157,6,1410,partial,United Kingdom: Suffolk,United Kingdom,Homo sapiens,oronasopharynx,"Gruner,W.E., Muehleman,D.M., Fries,A.C., Hanson,J.F., Kramer,D.L., Demarcus,L.S., Wasik,P.M., Robbins,A.S., Macias,E.A., Garcia,J.M., Renkas,M.C., Hartless,T.R., Hardy,J.",2024-12-11,2025-02-28,ssRNA(-)
PV200696,Influenza A virus,Alphainfluenzavirus influenzae,H1N1,USAFSAM-15157,5,1497,partial,United Kingdom: Suffolk,United Kingdom,Homo sapiens,oronasopharynx,"Gruner,W.E., Muehleman,D.M., Fries,A.C., Hanson,J.F., Kramer,D.L., Demarcus,L.S., Wasik,P.M., Robbins,A.S., Macias,E.A., Garcia,J.M., Renkas,M.C., Hartless,T.R., Hardy,J.",2024-12-11,2025-02-28,ssRNA(-)
PV200697,Influenza A virus,Alphainfluenzavirus influenzae,H1N1,USAFSAM-15157,8,838,partial,United Kingdom: Suffolk,United Kingdom,Homo sapiens,oronasopharynx,"Gruner,W.E., Muehleman,D.M., Fries,A.C., Hanson,J.F., Kramer,D.L., Demarcus,L.S., Wasik,P.M., Robbins,A.S., Macias,E.A., Garcia,J.M., Renkas,M.C., Hartless,T.R., Hardy,J.",2024-12-11,2025-02-28,ssRNA(-)
PV200698,Influenza A virus,Alphainfluenzavirus influenzae,H1N1,USAFSAM-15157,3,2151,partial,United Kingdom: Suffolk,United Kingdom,Homo sapiens,oronasopharynx,"Gruner,W.E., Muehleman,D.M., Fries,A.C., Hanson,J.F., Kramer,D.L., Demarcus,L.S., Wasik,P.M., Robbins,A.S., Macias,E.A., Garcia,J.M., Renkas,M.C., Hartless,T.R., Hardy,J.",2024-12-11,2025-02-28,ssRNA(-)
PV200699,Influenza A virus,Alphainfluenzavirus influenzae,H1N1,USAFSAM-15157,2,2274,partial,United Kingdom: Suffolk,United Kingdom,Homo sapiens,oronasopharynx,"Gruner,W.E., Muehleman,D.M., Fries,A.C., Hanson,J.F., Kramer,D.L., Demarcus,L.S., Wasik,P.M., Robbins,A.S., Macias,E.A., Garcia,J.M., Renkas,M.C., Hartless,T.R., Hardy,J.",2024-12-11,2025-02-28,ssRNA(-)
PV200700,Influenza A virus,Alphainfluenzavirus influenzae,H1N1,USAFSAM-15157,1,2280,partial,United Kingdom: Suffolk,United Kingdom,Homo sapiens,oronasopharynx,"Gruner,W.E., Muehleman,D.M., Fries,A.C., Hanson,J.F., Kramer,D.L., Demarcus,L.S., Wasik,P.M., Robbins,A.S., Macias,E.A., Garcia,J.M., Renkas,M.C., Hartless,T.R., Hardy,J.",2024-12-11,2025-02-28,ssRNA(-)
PV200701,Influenza A virus,Alphainfluenzavirus influenzae,H1N1,USAFSAM-15158,4,1701,partial,United Kingdom: Suffolk,United Kingdom,Homo sapiens,oronasopharynx,"Gruner,W.E., Muehleman,D.M., Fries,A.C., Hanson,J.F., Kramer,D.L., Demarcus,L.S., Wasik,P.M., Robbins,A.S., Macias,E.A., Garcia,J.M., Renkas,M.C., Hartless,T.R., Hardy,J.",2024-12-11,2025-02-28,ssRNA(-)
PV200702,Influenza A virus,Alphainfluenzavirus influenzae,H1N1,USAFSAM-15158,7,982,partial,United Kingdom: Suffolk,United Kingdom,Homo sapiens,oronasopharynx,"Gruner,W.E., Muehleman,D.M., Fries,A.C., Hanson,J.F., Kramer,D.L., Demarcus,L.S., Wasik,P.M., Robbins,A.S., Macias,E.A., Garcia,J.M., Renkas,M.C., Hartless,T.R., Hardy,J.",2024-12-11,2025-02-28,ssRNA(-)
PV200703,Influenza A virus,Alphainfluenzavirus influenzae,H1N1,USAFSAM-15158,6,1410,partial,United Kingdom: Suffolk,United Kingdom,Homo sapiens,oronasopharynx,"Gruner,W.E., Muehleman,D.M., Fries,A.C., Hanson,J.F., Kramer,D.L., Demarcus,L.S., Wasik,P.M., Robbins,A.S., Macias,E.A., Garcia,J.M., Renkas,M.C., Hartless,T.R., Hardy,J.",2024-12-11,2025-02-28,ssRNA(-)
PV200704,Influenza A virus,Alphainfluenzavirus influenzae,H1N1,USAFSAM-15158,5,1497,partial,United Kingdom: Suffolk,United Kingdom,Homo sapiens,oronasopharynx,"Gruner,W.E., Muehleman,D.M., Fries,A.C., Hanson,J.F., Kramer,D.L., Demarcus,L.S., Wasik,P.M., Robbins,A.S., Macias,E.A., Garcia,J.M., Renkas,M.C., Hartless,T.R., Hardy,J.",2024-12-11,2025-02-28,ssRNA(-)
PV200705,Influenza A virus,Alphainfluenzavirus influenzae,H1N1,USAFSAM-15158,8,838,partial,United Kingdom: Suffolk,United Kingdom,Homo sapiens,oronasopharynx,"Gruner,W.E., Muehleman,D.M., Fries,A.C., Hanson,J.F., Kramer,D.L., Demarcus,L.S., Wasik,P.M., Robbins,A.S., Macias,E.A., Garcia,J.M., Renkas,M.C., Hartless,T.R., Hardy,J.",2024-12-11,2025-02-28,ssRNA(-)
PV200706,Influenza A virus,Alphainfluenzavirus influenzae,H1N1,USAFSAM-15158,3,2151,partial,United Kingdom: Suffolk,United Kingdom,Homo sapiens,oronasopharynx,"Gruner,W.E., Muehleman,D.M., Fries,A.C., Hanson,J.F., Kramer,D.L., Demarcus,L.S., Wasik,P.M., Robbins,A.S., Macias,E.A., Garcia,J.M., Renkas,M.C., Hartless,T.R., Hardy,J.",2024-12-11,2025-02-28,ssRNA(-)
PV200707,Influenza A virus,Alphainfluenzavirus influenzae,H1N1,USAFSAM-15158,2,2274,partial,United Kingdom: Suffolk,United Kingdom,Homo sapiens,oronasopharynx,"Gruner,W.E., Muehleman,D.M., Fries,A.C., Hanson,J.F., Kramer,D.L., Demarcus,L.S., Wasik,P.M., Robbins,A.S., Macias,E.A., Garcia,J.M., Renkas,M.C., Hartless,T.R., Hardy,J.",2024-12-11,2025-02-28,ssRNA(-)
PV200708,Influenza A virus,Alphainfluenzavirus influenzae,H1N1,USAFSAM-15158,1,2280,partial,United Kingdom: Suffolk,United Kingdom,Homo sapiens,oronasopharynx,"Gruner,W.E., Muehleman,D.M., Fries,A.C., Hanson,J.F., Kramer,D.L., Demarcus,L.S., Wasik,P.M., Robbins,A.S., Macias,E.A., Garcia,J.M., Renkas,M.C., Hartless,T.R., Hardy,J.",2024-12-11,2025-02-28,ssRNA(-)
PV200709,Influenza A virus,Alphainfluenzavirus influenzae,H1N1,USAFSAM-15160,4,1701,partial,United Kingdom: Suffolk,United Kingdom,Homo sapiens,oronasopharynx,"Gruner,W.E., Muehleman,D.M., Fries,A.C., Hanson,J.F., Kramer,D.L., Demarcus,L.S., Wasik,P.M., Robbins,A.S., Macias,E.A., Garcia,J.M., Renkas,M.C., Hartless,T.R., Hardy,J.",2024-12-11,2025-02-28,ssRNA(-)
PV200710,Influenza A virus,Alphainfluenzavirus influenzae,H1N1,USAFSAM-15160,7,982,partial,United Kingdom: Suffolk,United Kingdom,Homo sapiens,oronasopharynx,"Gruner,W.E., Muehleman,D.M., Fries,A.C., Hanson,J.F., Kramer,D.L., Demarcus,L.S., Wasik,P.M., Robbins,A.S., Macias,E.A., Garcia,J.M., Renkas,M.C., Hartless,T.R., Hardy,J.",2024-12-11,2025-02-28,ssRNA(-)
PV200711,Influenza A virus,Alphainfluenzavirus influenzae,H1N1,USAFSAM-15160,6,1410,partial,United Kingdom: Suffolk,United Kingdom,Homo sapiens,oronasopharynx,"Gruner,W.E., Muehleman,D.M., Fries,A.C., Hanson,J.F., Kramer,D.L., Demarcus,L.S., Wasik,P.M., Robbins,A.S., Macias,E.A., Garcia,J.M., Renkas,M.C., Hartless,T.R., Hardy,J.",2024-12-11,2025-02-28,ssRNA(-)
PV200712,Influenza A virus,Alphainfluenzavirus influenzae,H1N1,USAFSAM-15160,5,1497,partial,United Kingdom: Suffolk,United Kingdom,Homo sapiens,oronasopharynx,"Gruner,W.E., Muehleman,D.M., Fries,A.C., Hanson,J.F., Kramer,D.L., Demarcus,L.S., Wasik,P.M., Robbins,A.S., Macias,E.A., Garcia,J.M., Renkas,M.C., Hartless,T.R., Hardy,J.",2024-12-11,2025-02-28,ssRNA(-)
PV200713,Influenza A virus,Alphainfluenzavirus influenzae,H1N1,USAFSAM-15160,8,838,partial,United Kingdom: Suffolk,United Kingdom,Homo sapiens,oronasopharynx,"Gruner,W.E., Muehleman,D.M., Fries,A.C., Hanson,J.F., Kramer,D.L., Demarcus,L.S., Wasik,P.M., Robbins,A.S., Macias,E.A., Garcia,J.M., Renkas,M.C., Hartless,T.R., Hardy,J.",2024-12-11,2025-02-28,ssRNA(-)
PV200714,Influenza A virus,Alphainfluenzavirus influenzae,H1N1,USAFSAM-15160,3,2151,partial,United Kingdom: Suffolk,United Kingdom,Homo sapiens,oronasopharynx,"Gruner,W.E., Muehleman,D.M., Fries,A.C., Hanson,J.F., Kramer,D.L., Demarcus,L.S., Wasik,P.M., Robbins,A.S., Macias,E.A., Garcia,J.M., Renkas,M.C., Hartless,T.R., Hardy,J.",2024-12-11,2025-02-28,ssRNA(-)
PV200715,Influenza A virus,Alphainfluenzavirus influenzae,H1N1,USAFSAM-15160,2,2274,partial,United Kingdom: Suffolk,United Kingdom,Homo sapiens,oronasopharynx,"Gruner,W.E., Muehleman,D.M., Fries,A.C., Hanson,J.F., Kramer,D.L., Demarcus,L.S., Wasik,P.M., Robbins,A.S., Macias,E.A., Garcia,J.M., Renkas,M.C., Hartless,T.R., Hardy,J.",2024-12-11,2025-02-28,ssRNA(-)
PV200716,Influenza A virus,Alphainfluenzavirus influenzae,H1N1,USAFSAM-15160,1,2280,partial,United Kingdom: Suffolk,United Kingdom,Homo sapiens,oronasopharynx,"Gruner,W.E., Muehleman,D.M., Fries,A.C., Hanson,J.F., Kramer,D.L., Demarcus,L.S., Wasik,P.M., Robbins,A.S., Macias,E.A., Garcia,J.M., Renkas,M.C., Hartless,T.R., Hardy,J.",2024-12-11,2025-02-28,ssRNA(-)
PV200717,Influenza A virus,Alphainfluenzavirus influenzae,H1N1,USAFSAM-15161,4,1701,partial,United Kingdom: Suffolk,United Kingdom,Homo sapiens,oronasopharynx,"Gruner,W.E., Muehleman,D.M., Fries,A.C., Hanson,J.F., Kramer,D.L., Demarcus,L.S., Wasik,P.M., Robbins,A.S., Macias,E.A., Garcia,J.M., Renkas,M.C., Hartless,T.R., Hardy,J.",2024-12-03,2025-02-28,ssRNA(-)
PV200718,Influenza A virus,Alphainfluenzavirus influenzae,H1N1,USAFSAM-15161,7,982,partial,United Kingdom: Suffolk,United Kingdom,Homo sapiens,oronasopharynx,"Gruner,W.E., Muehleman,D.M., Fries,A.C., Hanson,J.F., Kramer,D.L., Demarcus,L.S., Wasik,P.M., Robbins,A.S., Macias,E.A., Garcia,J.M., Renkas,M.C., Hartless,T.R., Hardy,J.",2024-12-03,2025-02-28,ssRNA(-)
PV200719,Influenza A virus,Alphainfluenzavirus influenzae,H1N1,USAFSAM-15161,6,1410,partial,United Kingdom: Suffolk,United Kingdom,Homo sapiens,oronasopharynx,"Gruner,W.E., Muehleman,D.M., Fries,A.C., Hanson,J.F., Kramer,D.L., Demarcus,L.S., Wasik,P.M., Robbins,A.S., Macias,E.A., Garcia,J.M., Renkas,M.C., Hartless,T.R., Hardy,J.",2024-12-03,2025-02-28,ssRNA(-)
PV200720,Influenza A virus,Alphainfluenzavirus influenzae,H1N1,USAFSAM-15161,5,1497,partial,United Kingdom: Suffolk,United Kingdom,Homo sapiens,oronasopharynx,"Gruner,W.E., Muehleman,D.M., Fries,A.C., Hanson,J.F., Kramer,D.L., Demarcus,L.S., Wasik,P.M., Robbins,A.S., Macias,E.A., Garcia,J.M., Renkas,M.C., Hartless,T.R., Hardy,J.",2024-12-03,2025-02-28,ssRNA(-)
